Objekt,Druh,Číslo,Jazyk,Cesta,Důvody,Jistota
MEStoPLC_MainCheckIn,SW.Types.PlcStruct,,,EXPORT/PLC data types/MES/MES to PLC/OLD/MEStoPLC_MainCheckIn.xml,"Bezpečnostně-adjacentní klíčová slova: e stop, e-stop, estop, sto | Externí rozhraní (klíčová slova): mes",STŘEDNÍ
MEStoPLC_MainCheckInStation1ST350_Laser,SW.Types.PlcStruct,,,EXPORT/PLC data types/MES_EXT/MES to PLC_ext/OLD/MEStoPLC_MainCheckInStation1ST350_Laser.xml,"Bezpečnostně-adjacentní klíčová slova: e stop, e-stop, estop, sto | Externí rozhraní (klíčová slova): mes",STŘEDNÍ
MEStoPLC_MainCheckInStation1ST350_ext,SW.Types.PlcStruct,,,EXPORT/PLC data types/MES_EXT/MES to PLC_ext/OLD/MEStoPLC_MainCheckInStation1ST350_ext.xml,"Bezpečnostně-adjacentní klíčová slova: e stop, e-stop, estop, sto | Externí rozhraní (klíčová slova): mes",STŘEDNÍ
MEStoPLC_MainCheckInStation2ST350_ext,SW.Types.PlcStruct,,,EXPORT/PLC data types/MES_EXT/MES to PLC_ext/OLD/MEStoPLC_MainCheckInStation2ST350_ext.xml,"Bezpečnostně-adjacentní klíčová slova: e stop, e-stop, estop, sto | Externí rozhraní (klíčová slova): mes",STŘEDNÍ
MEStoPLC_MainCheckIn_ext,SW.Types.PlcStruct,,,EXPORT/PLC data types/MES_EXT/MES to PLC_ext/Cammand/MEStoPLC_MainCheckIn_ext.xml,"Bezpečnostně-adjacentní klíčová slova: e stop, e-stop, estop, sto | Externí rozhraní (klíčová slova): mes",STŘEDNÍ
MEStoPLC_MainCheckOut,SW.Types.PlcStruct,,,EXPORT/PLC data types/MES/MES to PLC/OLD/MEStoPLC_MainCheckOut.xml,"Bezpečnostně-adjacentní klíčová slova: e stop, e-stop, estop, sto | Externí rozhraní (klíčová slova): mes",STŘEDNÍ
MEStoPLC_MainCheckOut_ext,SW.Types.PlcStruct,,,EXPORT/PLC data types/MES_EXT/MES to PLC_ext/Cammand/MEStoPLC_MainCheckOut_ext.xml,"Bezpečnostně-adjacentní klíčová slova: e stop, e-stop, estop, sto | Externí rozhraní (klíčová slova): mes",STŘEDNÍ
MEStoPLC_PrintExchange,SW.Types.PlcStruct,,,EXPORT/PLC data types/MES/MES to PLC/OLD/MEStoPLC_PrintExchange.xml,"Bezpečnostně-adjacentní klíčová slova: e stop, e-stop, estop, sto | Externí rozhraní (klíčová slova): mes",STŘEDNÍ
MEStoPLC_PrintExchange_ext,SW.Types.PlcStruct,,,EXPORT/PLC data types/MES_EXT/MES to PLC_ext/Cammand/MEStoPLC_PrintExchange_ext.xml,"Bezpečnostně-adjacentní klíčová slova: e stop, e-stop, estop, sto | Externí rozhraní (klíčová slova): mes",STŘEDNÍ
MEStoPLC_ProcessingExchange,SW.Types.PlcStruct,,,EXPORT/PLC data types/MES/MES to PLC/OLD/MEStoPLC_ProcessingExchange.xml,"Bezpečnostně-adjacentní klíčová slova: e stop, e-stop, estop, sto | Externí rozhraní (klíčová slova): mes",STŘEDNÍ
MEStoPLC_RecipeData_OP220,SW.Types.PlcStruct,,,EXPORT/PLC data types/MES/MES to PLC/OLD/MEStoPLC_RecipeData_OP220.xml,"Bezpečnostně-adjacentní klíčová slova: e stop, e-stop, estop, sto | Externí rozhraní (klíčová slova): mes",STŘEDNÍ
MEStoPLC_RecipeParameter_OP220,SW.Types.PlcStruct,,,EXPORT/PLC data types/MES/MES to PLC/OLD/MEStoPLC_RecipeParameter_OP220.xml,"Bezpečnostně-adjacentní klíčová slova: e stop, e-stop, estop, sto | Externí rozhraní (klíčová slova): mes",STŘEDNÍ
MEStoPLC_ResultsStoredScanExchange_ext,SW.Types.PlcStruct,,,EXPORT/PLC data types/MES_EXT/MES to PLC_ext/Cammand/MEStoPLC_ResultsStoredScanExchange_ext.xml,"Bezpečnostně-adjacentní klíčová slova: e stop, e-stop, estop, sto | Externí rozhraní (klíčová slova): mes",STŘEDNÍ
MEStoPLC_ST350,SW.Types.PlcStruct,,,EXPORT/PLC data types/MES/MES to PLC/OLD/MEStoPLC_ST350.xml,"Bezpečnostně-adjacentní klíčová slova: e stop, e-stop, estop, sto | Externí rozhraní (klíčová slova): mes",STŘEDNÍ
MEStoPLC_ST350_ext,SW.Types.PlcStruct,,,EXPORT/PLC data types/MES_EXT/MES to PLC_ext/MEStoPLC_ST350_ext.xml,"Bezpečnostně-adjacentní klíčová slova: e stop, e-stop, estop, sto | Externí rozhraní (klíčová slova): mes",STŘEDNÍ
MEStoPLC_SubCheckIn,SW.Types.PlcStruct,,,EXPORT/PLC data types/MES/MES to PLC/OLD/MEStoPLC_SubCheckIn.xml,"Bezpečnostně-adjacentní klíčová slova: e stop, e-stop, estop, sto | Externí rozhraní (klíčová slova): mes",STŘEDNÍ
MEStoPLC_SubCheckIn_ext,SW.Types.PlcStruct,,,EXPORT/PLC data types/MES_EXT/MES to PLC_ext/Cammand/MEStoPLC_SubCheckIn_ext.xml,"Bezpečnostně-adjacentní klíčová slova: e stop, e-stop, estop, sto | Externí rozhraní (klíčová slova): mes",STŘEDNÍ
PLCtoMES_AGVExchange,SW.Types.PlcStruct,,,EXPORT/PLC data types/MES/PLC to MES/OLD/PLCtoMES_AGVExchange.xml,Externí rozhraní (klíčová slova): mes,STŘEDNÍ
PLCtoMES_AlarmExchange,SW.Types.PlcStruct,,,EXPORT/PLC data types/MES/PLC to MES/OLD/PLCtoMES_AlarmExchange.xml,Externí rozhraní (klíčová slova): mes,STŘEDNÍ
PLCtoMES_AlarmMassage_ext,SW.Types.PlcStruct,,,EXPORT/PLC data types/MES_EXT/PLC to MES_ext/OLD/PLCtoMES_AlarmMassage_ext.xml,Externí rozhraní (klíčová slova): mes,STŘEDNÍ
PLCtoMES_Common,SW.Types.PlcStruct,,,EXPORT/PLC data types/MES/PLC to MES/OLD/PLCtoMES_Common.xml,Externí rozhraní (klíčová slova): mes,STŘEDNÍ
PLCtoMES_Common_ext,SW.Types.PlcStruct,,,EXPORT/PLC data types/MES_EXT/PLC to MES_ext/Cammand/PLCtoMES_Common_ext.xml,Externí rozhraní (klíčová slova): mes,STŘEDNÍ
PLCtoMES_MainCheckIn,SW.Types.PlcStruct,,,EXPORT/PLC data types/MES/PLC to MES/OLD/PLCtoMES_MainCheckIn.xml,Externí rozhraní (klíčová slova): mes,STŘEDNÍ
PLCtoMES_MainCheckIn_ext,SW.Types.PlcStruct,,,EXPORT/PLC data types/MES_EXT/PLC to MES_ext/Cammand/PLCtoMES_MainCheckIn_ext.xml,Externí rozhraní (klíčová slova): mes,STŘEDNÍ
PLCtoMES_MainCheckOut,SW.Types.PlcStruct,,,EXPORT/PLC data types/MES/PLC to MES/OLD/PLCtoMES_MainCheckOut.xml,Externí rozhraní (klíčová slova): mes,STŘEDNÍ
PLCtoMES_MainCheckOutProcessData_OP220,SW.Types.PlcStruct,,,EXPORT/PLC data types/MES/PLC to MES/OLD/PLCtoMES_MainCheckOutProcessData_OP220.xml,Externí rozhraní (klíčová slova): mes,STŘEDNÍ
PLCtoMES_MainCheckOutStation1ST350_ext,SW.Types.PlcStruct,,,EXPORT/PLC data types/MES_EXT/PLC to MES_ext/OLD/PLCtoMES_MainCheckOutStation1ST350_ext.xml,Externí rozhraní (klíčová slova): mes,STŘEDNÍ
PLCtoMES_MainCheckOutStation2ST350_ext,SW.Types.PlcStruct,,,EXPORT/PLC data types/MES_EXT/PLC to MES_ext/OLD/PLCtoMES_MainCheckOutStation2ST350_ext.xml,Externí rozhraní (klíčová slova): mes,STŘEDNÍ
PLCtoMES_MainCheckOut_ext,SW.Types.PlcStruct,,,EXPORT/PLC data types/MES_EXT/PLC to MES_ext/Cammand/PLCtoMES_MainCheckOut_ext.xml,Externí rozhraní (klíčová slova): mes,STŘEDNÍ
PLCtoMES_OP_ProcessData_OP220,SW.Types.PlcStruct,,,EXPORT/PLC data types/MES/PLC to MES/OLD/PLCtoMES_OP_ProcessData_OP220.xml,Externí rozhraní (klíčová slova): mes,STŘEDNÍ
PLCtoMES_PrintExchange,SW.Types.PlcStruct,,,EXPORT/PLC data types/MES/PLC to MES/OLD/PLCtoMES_PrintExchange.xml,Externí rozhraní (klíčová slova): mes,STŘEDNÍ
PLCtoMES_PrintExchange_ext,SW.Types.PlcStruct,,,EXPORT/PLC data types/MES_EXT/PLC to MES_ext/Cammand/PLCtoMES_PrintExchange_ext.xml,Externí rozhraní (klíčová slova): mes,STŘEDNÍ
PLCtoMES_ProcessData,SW.Types.PlcStruct,,,EXPORT/PLC data types/MES/PLC to MES/OLD/PLCtoMES_ProcessData.xml,Externí rozhraní (klíčová slova): mes,STŘEDNÍ
PLCtoMES_ProcessingExchange,SW.Types.PlcStruct,,,EXPORT/PLC data types/MES/PLC to MES/OLD/PLCtoMES_ProcessingExchange.xml,Externí rozhraní (klíčová slova): mes,STŘEDNÍ
PLCtoMES_RealTimeData,SW.Types.PlcStruct,,,EXPORT/PLC data types/MES/PLC to MES/OLD/PLCtoMES_RealTimeData.xml,Externí rozhraní (klíčová slova): mes,STŘEDNÍ
PLCtoMES_ResultsStoredScanExchange_ext,SW.Types.PlcStruct,,,EXPORT/PLC data types/MES_EXT/PLC to MES_ext/Cammand/PLCtoMES_ResultsStoredScanExchange_ext.xml,Bezpečnostně-adjacentní klíčová slova: sto | Externí rozhraní (klíčová slova): mes,STŘEDNÍ
PLCtoMES_ST350,SW.Types.PlcStruct,,,EXPORT/PLC data types/MES/PLC to MES/OLD/PLCtoMES_ST350.xml,Externí rozhraní (klíčová slova): mes,STŘEDNÍ
PLCtoMES_ST350_ext,SW.Types.PlcStruct,,,EXPORT/PLC data types/MES_EXT/PLC to MES_ext/PLCtoMES_ST350_ext.xml,Externí rozhraní (klíčová slova): mes,STŘEDNÍ
PLCtoMES_SubCheckIn,SW.Types.PlcStruct,,,EXPORT/PLC data types/MES/PLC to MES/OLD/PLCtoMES_SubCheckIn.xml,Externí rozhraní (klíčová slova): mes,STŘEDNÍ
PLCtoMES_SubCheckIn_ext,SW.Types.PlcStruct,,,EXPORT/PLC data types/MES_EXT/PLC to MES_ext/Cammand/PLCtoMES_SubCheckIn_ext.xml,Externí rozhraní (klíčová slova): mes,STŘEDNÍ
RCS_SysSafety_V1,SW.Types.PlcStruct,,,EXPORT/PLC data types/00 Sys/RCS_SysSafety_V1.xml,"Bezpečnostně-adjacentní klíčová slova: safe, safety",STŘEDNÍ
ST_Stopper,SW.Types.PlcStruct,,,EXPORT/PLC data types/03 FunctionBlocks/201 Stopper/ST_Stopper.xml,Bezpečnostně-adjacentní klíčová slova: sto,STŘEDNÍ
SafetyGateUDT,SW.Types.PlcStruct,,,EXPORT/PLC data types/03 FunctionBlocks/102 SafetyGate/SafetyGateUDT.xml,"Bezpečnostně-adjacentní klíčová slova: safe, safety",STŘEDNÍ
UDT_MES_LoadData,SW.Types.PlcStruct,,,EXPORT/PLC data types/MES/Data/UDT_MES_LoadData.xml,Externí rozhraní (klíčová slova): mes,STŘEDNÍ
UDT_MES_LoadDatae_ext,SW.Types.PlcStruct,,,EXPORT/PLC data types/MES_EXT/Data_ext/UDT_MES_LoadDatae_ext.xml,Externí rozhraní (klíčová slova): mes,STŘEDNÍ
