kind,name,number,language,source_path
SW.Blocks.GlobalDB,ChangeOver_DB,1700,DB,EXPORT/Program blocks/OP010/03_Auto/01ChangeOver/ChangeOver_DB.xml
SW.Blocks.GlobalDB,DATA,6,DB,EXPORT/Program blocks/OP010/10_Device/25_V90/Patch/DATA.xml
SW.Blocks.GlobalDB,DB_Commissioning,32767,DB,EXPORT/Program blocks/Z_Reserve/DB_Commissioning.xml
SW.Blocks.GlobalDB,DB_KeyenceCheckerIV3,2101,DB,EXPORT/Program blocks/OP010/10_Device/21_IV3/DB_KeyenceCheckerIV3.xml
SW.Blocks.GlobalDB,Debug,5,DB,EXPORT/Program blocks/OP010/10_Device/25_V90/Debug.xml
SW.Blocks.GlobalDB,DiagnosticDataBlock,3001,DB,EXPORT/Program blocks/02_Comm/03-Diagnosis/DiagnosticDataBlock.xml
SW.Blocks.GlobalDB,GeneralDebug,1,DB,EXPORT/Program blocks/GeneralDebug.xml
SW.Blocks.GlobalDB,GluingControl,2800,DB,EXPORT/Program blocks/OP010/10_Device/28_Gluing/GluingControl.xml
SW.Blocks.GlobalDB,HMISystemDB,2201,DB,EXPORT/Program blocks/OP010/10_Device/22_IAI/HMISystemDB.xml
SW.Blocks.GlobalDB,IAI_A1,2211,DB,EXPORT/Program blocks/OP010/10_Device/22_IAI/IAI_A1.xml
SW.Blocks.GlobalDB,IAI_A2,2212,DB,EXPORT/Program blocks/OP010/10_Device/22_IAI/IAI_A2.xml
SW.Blocks.GlobalDB,IAI_A3,2213,DB,EXPORT/Program blocks/OP010/10_Device/22_IAI/IAI_A3.xml
SW.Blocks.GlobalDB,IAI_DeviceCtl,2204,DB,EXPORT/Program blocks/OP010/10_Device/22_IAI/IAI_DeviceCtl.xml
SW.Blocks.GlobalDB,KistlerPressData1,2311,DB,EXPORT/Program blocks/OP010/10_Device/23_Kistler/Kistler1/KistlerPressData1.xml
SW.Blocks.GlobalDB,KistlerPressData2,2321,DB,EXPORT/Program blocks/OP010/10_Device/23_Kistler/Kistler2/KistlerPressData2.xml
SW.Blocks.GlobalDB,KistlerPresser1_DB,2312,DB,EXPORT/Program blocks/OP010/10_Device/23_Kistler/Kistler1/KistlerPresser1_DB.xml
SW.Blocks.GlobalDB,KistlerPresser2_DB,2322,DB,EXPORT/Program blocks/OP010/10_Device/23_Kistler/Kistler2/KistlerPresser2_DB.xml
SW.Blocks.GlobalDB,MES_CheckControl,2361,DB,EXPORT/Program blocks/OP010/11_MES/MES_CheckControl.xml
SW.Blocks.GlobalDB,MEStoPLC,501,DB,EXPORT/Program blocks/OP010/11_MES/MEStoPLC.xml
SW.Blocks.GlobalDB,ModeDB,2203,DB,EXPORT/Program blocks/OP010/10_Device/22_IAI/ModeDB.xml
SW.Blocks.GlobalDB,MotorControl,3100,DB,EXPORT/Program blocks/OP010/10_Device/31_Motor_1/MotorControl.xml
SW.Blocks.GlobalDB,MotorData,3120,DB,EXPORT/Program blocks/OP010/10_Device/31_Motor_1/MotorData.xml
SW.Blocks.GlobalDB,OP010_MES_RecipeDB,9,DB,EXPORT/Program blocks/OP010/08_ChangeOver/MES/OP010_MES_RecipeDB.xml
SW.Blocks.GlobalDB,OP10_GeneralAnalogDB,1080,DB,EXPORT/Program blocks/OP010/10_Device/08_PressureAanlog/OP10_GeneralAnalogDB.xml
SW.Blocks.GlobalDB,PLCtoMES,500,DB,EXPORT/Program blocks/OP010/11_MES/PLCtoMES.xml
SW.Blocks.GlobalDB,PalletNGData,2900,DB,EXPORT/Program blocks/OP010/10_Device/29_NG/PalletNGData.xml
